id,name,default,order
poorest20pct,Poverty,poorest-20-percent,1
vulnerability,Vulnerability,fragile-states,2
dpf,Government finance,non-grant-revenue-ppp-pc,3
intlmix,International finance,largest-intl-flow,4
official,International official finance,warehouse/fact/in_oda_gross_2015,5
ha,Humanitarian finance,in-ha,6
data-revolution,Data revolution,latest-census,7
forward-looking-oda,Forward looking ODA,iati/iati-budgets-gb,8
health,Health,life-expectancy-at-birth,9
education,Education,primary-school-enrolment,10
employment,Employment,total-unemployment,11
