,generic,next,BD,CD,ET,GH,KE,LR,MW,ML,MZ,NP,NG,PK,RW,SN,SD,TZ,UG
p1_intro,"This country profile highlights trends in poverty, domestic public resources and international finance based on the latest available data.",,"According to the most recent estimates (2013), extreme poverty (defined in notes)  in Bangladesh has been declining, with 16.8% of the population living on less than PPP$1.90 a day; meanwhile income distribution remains uneven.",Over three quarters of the population in the Democratic Republic of the Congo (DRC) lives in extreme poverty (defined in notes) according to the latest estimates in 2013. The distribution of income remains highly uneven.,"Extreme poverty rates (defined in notes) in Ethiopia have fallen significantly since 2010 but remain above 20% by 2013 estimates. The distribution of income remains uneven, with the poorest 20% of the population holding 7% of the total.","The share of population living on less than PPP$1.90 a day in Ghana has declined steadily since the early 2000s, reaching 12% in 2013. Income distribution is unequal with the poorest 20% holding 5% of the total.","According to the last count in 2013, over a third of Kenyans lives in extreme poverty (defined in notes). ","Two fifths of the population of Liberia lives in extreme poverty (defined in notes), according to latest estimates in 2013. The distribution of income is unequal with the poorest 20% holding 7.7% of total income.","Extreme poverty levels (defined in notes) in Malawi have remained relatively constant since 2002, with 70% of the population still living on less than PPP$1.90 a day in 2013 (latest available estimate). The distribution of income is highly unequal.","Over half the population in Mali lives in extreme poverty (defined in notes), according to latest estimates in 2013","Extreme poverty (defined in notes) in Mozambique has been decreasing but, according to the latest count in 2013, 64% of the population still lives on less than PPP$1.90 a day. The poorest 20% of the population holds 4.2% of total income.","Extreme poverty rates (defined in notes) in Nepal have decreased by over 80% since 2002. According to the latest estimates (2013), 8.9% of the population lives on less than PPP$1.90 a day. ","Extreme poverty (defined in notes) in Nigeria has declined since the early 2000s, but half of the population still lives on less than PPP$1.90 a day (latest available estimates from 2013). Some 112 million people in Nigeria are among the poorest 20% of people in the world.",Extreme poverty (defined in notes) in Pakistan has decreased by three quarters between 2002 and 2013 (latest available estimate). The poorest 20% of the population has 9.2% of total income.,"Extreme poverty rates (defined in notes) in Rwanda have plateaued since 2010 at around 60%. The distribution of income remains unequal, with the poorest 20% of the population holding 5% of total income.",Extreme poverty rates (defined in notes) in Senegal have remained relatively constant since 2005. ,"Extreme poverty rates (defined in notes) in Sudan have declined by over two thirds since 2002, reaching 8% in 2013 (latest available data). The poorest 20% of the population has 6.8% of the income.","Extreme poverty (defined in notes) has been decreasing but, according to latest available data (2013), 46% of Tanzanians still lives below the international poverty line. The poorest 20% of the population has 7.4% of total income.","Extreme poverty (defined in notes) in Uganda has declined since 2002; however, according to latest available estimates (from 2013), over a third of the population still lives below the international poverty line."
p1_bullet1,,p1_bullet2,Remittances account for 59% of all international resource flows; ODA for 14%,"ODA is the largest international resource flow; FDI is also significant, accounting for 34% of all inflows","Ethiopia receives a range of international financing, almost a third of which is ODA and almost a quarter FDI","FDI accounts for almost a third of all international financing, remittances for 20% and long-term official debt for 18%","ODA remains the largest international resource flow to Kenya, followed by long-term official debt and remittances ","ODA is the largest source of international financing, accounting for 43% of inflows","ODA is by far the largest inflow of international financing, accounting for 75% of the total","ODA continues to be the largest source of international financing, but remittances are also significant",FDI accounts for over half of all international financing; ODA for over a quarter,Remittances have increased 29-fold since 2000 and remain the largest international resource inflow,"In 2016, remittances accounted for almost two-thirds of all international financing, totalling US$20 billion",Remittances in 2016 were equivalent to more than five times the volume of ODA and under ten times that of FDI,"ODA is the largest inflow of international resources, followed by tourism, which accounts for 19% of the total",Remittances are the largest source of international financing; ODA accounts for 20% of all inflows,"FDI is the largest inflow of international resources, followed by tourism, which accounts for 28% of the total","ODA accounted for almost a third of international financing in 2016, followed by tourism at 29% of the total","At US$1.8 billion, ODA accounted for 36% of all international financing in 2016"
p1_bullet2,,p1_bullet3,"In 2016, spending by the Bangladesh government equated to PPP$454 per person, which is among the 25 lowest amounts globally  ","In 2016 spending by the central government equated to PPP$89 per person, the third lowest in the world",Government spending per person is among the lowest globally; indirect taxes make up just under half of domestic public revenue,"Ghana is among the 50 countries with lowest government spending per person, and 29% of it is spent on debt interest","Income tax is the primary revenue stream for the government, accounting for 46% of receipts",Liberia in one of the 25 countries in the world with lowest levels of government spending per person,"In 2016 spending by the Malawian government equated to PPP$270 per person, among the very lowest in the world",Mali is among 25 countries with the lowest levels of government spending per person; indirect taxes are the main revenue stream,"Mozambique is one of the 15 countries with lowest levels of government spending, equating to PPP$366 per person in 2016","Nepal is one of the 35 countries with the lowest levels of government spending, equating to PPP$505 per person in 2016","Almost half of government revenue in 2017 came from the oil sector, with levels rising by 37% back to 2015 levels","Pakistan is one of the 50 countries with lowest levels of government spending, equating to PPP$976 per person in 2016","Government expenditure per person in 2016 was PPP$482, which is among the 30 lowest amounts in the world",One dollar in nine of government revenue comes from donor grants,Over a third of government revenue is from taxes on goods and services,"In 2016 government spending equated to PPP$490 per person, among the 30 lowest amounts in the world","In 2016, spending by the Ugandan government equated to PPP$409 per person, among the lowest 20 countries in the world"
p1_bullet3,,,"Over half (60%) of all ODA to Bangladesh is provided by three donors: IDA, Japan and the ADB.",58% of ODA goes to three sectors; the third-largest (infrastructure) receives three quarters in the form of cash.,"While cash is the main modality, Ethiopia receives 20% of ODA in the form of commodities and food.","46% of ODA is delivered as loans and equity, a modality that dominates aid from the two largest donors.",Over a third of ODA to Kenya is delivered as loans and equity (US$901 million).,"The US provides 49% of all ODA to Liberia, but the main form of delivery of its aid is difficult to establish.","Disbursements from the largest three donors, the US, IDA and the UK, account for over half the ODA to Malawi.",A third of all ODA in 2015 went to two sectors: health (18%) and agriculture and food security (15%).,Over a third of ODA is provided by two donors: the US (US$392 million) and IDA (US$249 million).,"Over a third of ODA is provided by two multilateral institutions, IDA and the ADB.","IDA and the US accounted for half the ODA disbursed to Nigeria: 30% and 20% of the total, respectively.","50% of ODA (US$1.8 billion) goes to three sectors: governance and security, education, and health.","IDA, the US and EU Institutions together accounted for almost 44% of ODA to Rwanda in 2016.",The majority of ODA is delivered as cash: 37% in the form of loans and equity and 16% as grants.,"In 2016, the US alone provided over a quarter of ODA to Sudan (US$229 million).","IDA, the US and the UK are the three largest donors, together providing almost half of all ODA.","23% of ODA is delivered as loans and equity, 16% as grants and 9% as technical cooperation."
p1_r1,Trends in extreme poverty,,The share of people living in extreme poverty more than halved between 2002 and 2013,The share of people living in extreme poverty has been decreasing over time but remains high,"Poverty rates, although decreasing, remain high at 29%","In 2013, 12% of the population lived in extreme poverty, 63% less than in 2002","Over a third (A quarter)  of Kenya's population lives in extreme poverty, by latest estimates in 2013","Poverty rates have been falling since they last increased in 2005, though they remain at 40% (above 50%)","Poverty rates have remained relatively constant since 2010, fluctuating between 70 and 71%",The share of the population living in extreme poverty has been increasing marginally since 2010,Extreme poverty has been steadily decreasing but remains high at 64% (2013 data).,Extreme poverty in Nepal has dropped by over 80% between 2002 and 2013,"Although rates have fallen slightly, half of the population still lives in extreme poverty",The share of people living in extreme poverty declined from 28% in 2002 to 7% in 2013,"Since 2010, poverty rates have remained relatively constant at around 60%",The proportion of people living in extreme poverty has remained relatively constant since 2005,Poverty rates decreased by over two fifths between 2010 and 2013,Since 2002 extreme poverty has decreased by 43% but remains high at 46% in 2013,"Although poverty has declined, 36% of the population still lives in extreme poverty (2013 data)"
p1_r1_year,2002-2013,,,,,,,,,,,,,,,,,,
p1_r2,The distribution of income,,The poorest 20% of the population holds 8.6% of total income,The poorest 20% of the population holds 5.5% of total income,The poorest 20% of the population holds 6.6% of total income,The poorest 20% of the population has 5.4% of total income,The poorest 20% of the population has 4.7% of the total income,The poorest 20% of the population has 7.7% of total income,The poorest 20% of the population has 5.5% of total income.,The poorest 20% of the population has 8% of the income,The poorest 20% of the population has 4.2% of total income,The poorest 20% of the population has 8.3% of total income,The poorest 20% of the population has 5.4% of the income,The poorest 20% of the population has 9.2% of total income,The poorest 20% of the population has 5.2% of total income,The poorest 20% of the population has 6.1% of total income,The poorest 20% of the population has 6.8% of total income,The poorest 20% of the population has 7.4% of total income,The poorest 20% of the population has 6.4% of total income
p1_r2_year,,,2016,2012,2015,2016,2005,2014,2010,2009,2014,2010,2009,2013,2013,2011,2009,2011,2012
p1_r3,"Official, commercial and private flows",,"Remittances are the largest international inflow to Bangladesh, over four times the volume of ODA","ODA is the largest international inflow of resources, while FDI is the largest outflow","ODA volumes continue to be the largest source of international financing, rising from 25% in 2015 to 32% in 2016","FDI remains the largest source of international financing to Ghana, totalling US$3.5 billion in 2016","Kenya receives a range of international financing, with ODA accounting for over a quarter of all inflows","ODA is the largest inflow of international resources to Liberia, followed by remittances and FDI","ODA dominates the financing landscape in Malawi, while profits on tourism account for most resource outflows",ODA accounts for over half of all international resources; capital repayments on ODA dominate among outflows,FDI is almost twice the volume of ODA; while tourism represents the largest outflow of resources,Inflows of remittances continued to increase in 2016 and account for 78% of all international financing,"While remittances dominated among inflows, profits on tourism were by far the largest outflow of resources","Remittances are by far the largest source of international financing, totalling US$19.8 billion in 2016",ODA accounts for 47% of all international resource inflows; tourism represents 45% of all outflows,ODA and remittances account for over two thirds of all inflows; the outflows landscape is more varied,FDI is the largest inflow of international resources; profits on tourism are the largest outflow,"ODA remains the largest international inflow of resources, although available financing is varied overall","While ODA is still the largest inflow, profits on long-term commercial debt and tourism are the largest outflows"
p1_r3_year,2016,,,,,,,,,,,,,,,,,,
