,generic,next,AU,CA,FR,JP,KR,ES,DE,GB,IT,NL,NO,SE,US
p1_intro,"This donor profile highlights trends in resource flows to developing countries, provides detail on ODA including breakdowns by aid bundle and sector and shows resource targeting against the depth of poverty of each recipient based on the latest available data.",,"Remittances are by far the largest resource outflow from Australia, up by US$2.1 billion from 2014. They are now three times greater than ODA, which has fallen for a third consecutive year to levels 13% lower than its peak in 2012.","Canada's ODA fell by 5% to US$3.9 billion in 2016 and has fluctuated within the US$3.5 billion and US$4.5 billion range over the last decade. Remittances to developing countries have grown by almost 40% since 2012 and are now 3.7 times the volume of ODA, at almost US$15 billion in 2016.","FDI continued to fall in 2016 after a peak in 2014, while ODA continued to rise after a low in 2014. Morocco is the largest destination for resource flows from France.","FDI is the largest flow from Japan to developing countries, though it and other non-ODA flows are heavily concentrated in Far East Asia.","FDI is the largest flow to developing countries and almost doubled in 2016, rising from US$7.2 billion in 2015 to US$13.3 billion. ODA also reached record levels in 2016, totalling US$2.3 billion, while OOFs fell 29% from 2015.","Remittances rose by 5% in 2016 to become the largest resource flow to developing countries, followed by ODA. The Americas are the primary destination for flows from Spain to developing countries.","German ODA grew by over US$6.9 billion in 2016, meaning Germany is again the second largest provider of ODA by volume. ODA is the largest flow despite recent rises in FDI. OOFs reached record levels in 2016, though remain small compared with ODA.","According to the latest OECD DAC data the UK allocated aid equal to 0.7% of GNI in 2016, meaning it remains among the six DAC member countries to have reached or surpassed the 0.7% target. ODA and remittances grew by 8% and 10%, respectively, in 2016, and FDI rose close to 2014 levels.","FDI fell by 8%, accounting for 38% of flows. Remittances make up 33% and ODA 19%. Over a third of FDI was invested in Europe, while almost half of remittances was invested south of the Sahara.","FDI is the largest resource flow to developing countries, significantly outweighing ODA and remittances.","ODA rose to a record level of US$4.4 billion in 2016. This is equivalent to 1.12% of Norwegian GNI, the highest ratio among OECD DAC donors. Remittances also rose by US$35 million to US$801 million in 2016.","Resource flows from Sweden grew by 6% in 2016. OOFs rose by more than half, from US$46 million to US$71 million, while ODA and FDI both fell by 30%.","The United States (US) continues to be the largest provider of ODA, with aid volumes rising US$3 billion in 2016, higher than 2014 levels. Remittances are the largest flow from the US to developing countries in total."
p1_bullet1,,page1_intro_bullet2,"Almost 80% of Australia's aid is bilateral, compared with a DAC country average of 73%",Remittances have grown on by almost a third since 2013; almost half now go to Far East Asia,"Loans are the primary ODA financing instrument, accounting for 45% of the total in 2016",ODA rose in 2016 to US$17 billion,"Loans account for 39% of ODA, and technical cooperation 25%","ODA rose significantly to 0.34% of GNI in 2016, the highest level since 2010",Rapid increases in refugee-hosting costs drove overall increases in German ODA,The UK is the fourth largest donor and the largest funder of multilateral agencies,ODA fell by more than 40% between 2008 and 2012 but has since doubled to more than US$5.1 billion in 2016,"ODA fell by more than 20% in 2016, down below 2014 levels","ODA grew by 7.7% in 2016, driven by rising refugee-hosting costs as well as growth in sectors such as education","Falling ODA was due to lower levels of refugee-hosting costs, which fell by US$1.6 billion in 2016 to approximately 2014 levels","Half of bilateral ODA goes to sub-Saharan Africa, though Afghanistan and Jordan received the most by country in 2016"
p1_bullet2,,page1_intro_bullet3,"25% of ODA goes to Oceania, while 24% goes to Far East Asia.","47% of bilateral ODA goes to sub-Saharan Africa, while Afghanistan and Ethiopia were the largest country recipients in 2016",‘Other’  and infrastructure are the largest sectors for ODA,"Most ODA is provided in the form of loans, with infrastructure and water and sanitation the primary sectors","Infrastructure is the largest sector, accounting for over a quarter of bilateral ODA in 2016, having grown 15% since 2014",Debt relief is the largest single sector for bilateral ODA,"Non-transfer is the primary financing instrument for German ODA, with infrastructure, humanitarian and education the main sectors",Almost a third of UK aid goes to sub-Saharan Africa; it is the largest recipient region of ODA. South and Central Asia is the largest destination for remittances; almost three-quarters of UK flows to South America are FDI,"The increase is driven by spending in Italy: over two-thirds of bilateral ODA, US$1.7 billion, was spent on refugee-hosting costs in 2016",More than half of regionally allocable bilateral ODA goes to sub-Saharan Africa,Refugee support is the largest sector in 2016,Sub-Saharan Africa is the primary destination for ODA and OOFs,"Humanitarian assistance rose to reach a record high of US$6.3 billion in 2016. Together with health, it accounts for almost half US bilateral ODA"
p1_bullet3,,,45% of bilateral aid is provided as cash grants,"Humanitarian assistance has been the largest sector since 2014, accounting for 18% of bilateral aid in 2016.",Sub-Saharan Africa is the largest recipient region for ODA and OOFs; South America is the primary destination for FDI.,General budget support was the fastest growing sector in 2016.,"The vast majority of OOFs, FDI and remittances go to Far East Asian countries, though ODA is spread more widely.",Debt relief was the most significant ODA sector in 2016.,Sub-Saharan Africa and the Middle East are the largest regions for ODA; Far East Asia is the primary destination for FDI and remittances.,UK ODA to refugee hosting has increased more than 12 fold since 2013; education was the fastest growing sector in 2016.,"Turkey and Ethiopia are the largest countries, while sub-Saharan Africa is the largest region, for transferred ODA.","The largest areas of spending are refugee-hosting costs, humanitarian assistance and debt relief.","Sub-Saharan Africa receives the most ODA by region, while Syria and Brazil do by country.",‘Other’ (including refugee-hosting costs ) and governance and security are the largest sectors.,"The vast majority of aid – 84% – is bilateral, the highest proportion of any OECD DAC country provider."
p1_section_title_1,Resource flows to developing countries,,,,,,,,,,,,,,
d1,Trends in resource flows to developing countries,,"Remittances fell by almost 4%  in 2016, while ODA fell by 6%","Remittances remained constant from 2015 to 2016 (with a minor 0.1% drop), while ODA fell by 5%",FDI in developing countries fell 36% in 2016; ODA grew 7.2% ,"FDI remained constant from 2015 to 2016 (with a minor 0.1% drop), while remittances fell 11% and ODA remained constant (with a minor 0.3% rise); OOFs dropped by 41%",OOFs dropped by 29%; ODA grew 17.2% to US$2.3 billion,"FDI fell by 88% in 2016 while remittances grew by 5% to record levels; ODA rose to US$4.7 billion, approaching 2010 levels after a five-year gradual decline","ODA grew 34% in 2016, following 20% growth in 2015; remittances fell slightly, while FDI fell by 14% and OOFs fell by 70%","Following a fall in 2015, FDI rebounded in 2016 to 2014 levels of US$8.2 billion and remittances grew by 10%","FDI rose 7%, remittances remained constant with 2015 levels and ODA rose 27%","Following a rise in 2015, FDI fell in 2016; ODA fell by 12% and remittances dropped by 2%","ODA grew 7.7% in 2016, while remittances grew by 5%","ODA and FDI fell by under a third in 2016, back to just under 2014 levels","FDI fell by 2% in 2016, while ODA rose by 9.3%; remittances grew by 1%"
d1_subtitle,"US$ billions, constant 2016 prices",,,,,,,,,,,,,,
d1_start_year,2000,,,,,,,,,,,,,,
d1_end_year,2016,,,,,,,,,,,,,,
d2,Resource mix to developing countries snapshot,,Remittances account for 70% of flows,Remittances are 3.7 times the volume of ODA,Falling FDI meant ODA was the largest flow in 2016,"FDI remains the largest flow, accounting for 44% of the total in 2016","FDI is the largest flow, totalling US$13 billion in 2016","Remittances replace FDI as the largest flow, accounting for 58% of the total in 2016",ODA accounts for 34% of flows to developing countries,ODA remains the largest flow to developing countries,FDI and remittances together account for 71% of flows,FDI is the largest flow to developing countries,ODA totalled US$4.4 billion in 2016,"ODA totalled US$5 billion in 2016, almost two fifths of total flows",Remittances account for almost two-thirds of flows
d2_subtitle,"US$ billions, 2016",,,,,,,,,,,,,,
d2_year,2016,,,,,,,,,,,,,,
p1_section_title_2,How much ODA does _NAME_ give?,,,,,,,,,,,,,,
