id,title,narrative,meta
ctry-profile,"Explore this in-depth profile of country to find out overall levels of poverty, income distribution, division of wealth and more. Discover how national and sub-national revenue is generated",flag-country,
overview-ctry-poorest-people,"HOW MANY OF THE POOREST PEOPLE GLOBALLY LIVE IN country?", ,
overview-ctry-resources,"WHAT RESOURCES ARE AVAILABLE?", ,
overview-govt-spentperperson,"HOW MUCH DOES THE GOVERNMENT SPEND PER PERSON?", ,
poverty-reduction-ctry,"IS POVERTY REDUCING OVER TIME?", ,
poverty-depth-ctry,"HOW DEEP IS POVERTY?", ,  
income-distribution-ctry,"HOW IS INCOME DISTRIBUTED?", ,
popn-ctry,"WHAT IS THE POPULATION?", , 
popn-distribution,"WHAT IS THE URBAN VS RURAL SPLIT?", ,
popn-distribution-age-ctry,"WHAT IS THE AGE PROFILE?", ,
totalrevenue-ctry,"WHAT IS THE TOTAL REVENUE OF CTRY?", , 
govt-revenue-external,"HOW MUCH GOVERNMENT REVENUE COMES FROM EXTERNAL GRANTS (AID)?", ,     
ctry-expenditure,"HOW IS SPENDING ALLOCATED?", Capital Expenditure and Recurrent Expenditure, 
diff-providers-priorities,"Different providers, different priorities","How effectively are donors targeting the countries with the highest numbers of people in poverty and the least domestic public resources to address it? This chart allows you to select a provider of aid to see how it allocates aid across countries", ,
resources-able-to-meet-needs,"Are domestic public resources able to meet the needs of the poorest people?","The proportion of people living in extreme poverty worldwide has more than halved since 2000, yet progress is varied across countries. Although domestic public resources are an important resource to drive efforts to end poverty, they remain scarce in many countries where poverty is high", ,
Unbundling aid,Unbundling aid,"Explore and compare funding priorities for official development assistance", ,
aid-allocated-ctry,"AS A SHARE OF GNI, HOW MUCH AID IS ALLOCATED TO Country?", , 
mixture-of-resources,"WHAT’S THE MIX OF RESOURCES?", ,
Unbundling aid,Unbundling aid,"Explore and compare funding priorities for official development assistance  Using this visualisation", ,

