id,name,color
public-sector-unknown,Public sector (unknown country),red-light
public-sector-donor,Public sector (donor government),red-dark
public-sector-recipient,Public sector (recipient government),red
ngo-unknown,NGO (unknown),green-light
ngo-donor,NGO (donor country),green-dark
ngo-recipient,NGO (recipient country),green
ppps-and-networks,Public private partnership or Network,orange
multilateral,Multilateral,blue
private-sector-institution,Private Sector Institution,purple
university-research-institute-etc,"University, research institute or think-tank, etc",yellow
other,Other,grey-dark
unspecified,Unspecified,grey
